
stage2: 0loop [00:00, ?loop/s]
stage2: 1loop [00:00,  4.72loop/s]
stage2: 3loop [00:00,  7.57loop/s]
stage2: 5loop [00:00,  8.46loop/s]
stage2: 7loop [00:00,  9.65loop/s]
stage2: 8loop [00:00,  9.25loop/s]
stage2: 10loop [00:01,  9.39loop/s]
stage2: 12loop [00:01, 10.15loop/s]
stage2: 14loop [00:01,  9.90loop/s]
stage2: 15loop [00:01,  9.35loop/s]
stage2: 17loop [00:01, 10.03loop/s]
stage2: 18loop [00:01,  9.41loop/s]
stage2: 20loop [00:02,  9.42loop/s]
stage2: 22loop [00:02, 10.13loop/s]
stage2: 24loop [00:02,  9.95loop/s]
stage2: 25loop [00:02,  9.44loop/s]
stage2: 30loop [00:02, 17.65loop/s]
stage2: 64loop [00:02, 90.21loop/s]
stage2: 109loop [00:02, 177.19loop/s]
stage2: 131loop [00:03, 89.45loop/s] 
stage2: 148loop [00:03, 64.43loop/s]
stage2: 161loop [00:04, 43.02loop/s]
stage2: 171loop [00:05, 30.66loop/s]
stage2: 178loop [00:05, 25.88loop/s]
stage2: 184loop [00:06, 22.43loop/s]
stage2: 189loop [00:06, 20.64loop/s]
stage2: 193loop [00:06, 19.33loop/s]
stage2: 196loop [00:07, 18.16loop/s]
stage2: 199loop [00:07, 18.12loop/s]
stage2: 235loop [00:07, 61.77loop/s]
stage2: 251loop [00:07, 75.29loop/s]
stage2: 264loop [00:07, 66.66loop/s]
stage2: 275loop [00:08, 58.85loop/s]
stage2: 284loop [00:08, 59.42loop/s]
stage2: 292loop [00:08, 54.47loop/s]
stage2: 299loop [00:08, 48.30loop/s]
stage2: 305loop [00:08, 47.32loop/s]
stage2: 311loop [00:08, 43.14loop/s]
stage2: 316loop [00:09, 43.20loop/s]
stage2: 321loop [00:09, 39.66loop/s]
stage2: 326loop [00:09, 37.55loop/s]
stage2: 331loop [00:09, 38.96loop/s]
stage2: 361loop [00:09, 98.30loop/s]
stage2: 376loop [00:09, 99.57loop/s]
stage2: 388loop [00:10, 35.23loop/s]
stage2: 397loop [00:11, 23.99loop/s]
stage2: 404loop [00:12, 19.77loop/s]
stage2: 409loop [00:12, 18.14loop/s]
stage2: 413loop [00:12, 17.05loop/s]
stage2: 416loop [00:12, 16.12loop/s]
stage2: 419loop [00:13, 16.04loop/s]
stage2: 426loop [00:13, 21.61loop/s]
stage2: 434loop [00:13, 29.73loop/s]
stage2: 442loop [00:13, 37.92loop/s]
stage2: 450loop [00:13, 45.65loop/s]
stage2: 457loop [00:13, 47.68loop/s]
stage2: 463loop [00:13, 48.46loop/s]
stage2: 469loop [00:14, 37.98loop/s]
stage2: 474loop [00:14, 32.81loop/s]
stage2: 478loop [00:14, 29.92loop/s]
stage2: 482loop [00:14, 30.03loop/s]
stage2: 486loop [00:14, 27.47loop/s]
stage2: 489loop [00:14, 25.50loop/s]
stage2: 493loop [00:15, 26.77loop/s]
stage2: 496loop [00:15, 25.08loop/s]
stage2: 500loop [00:15, 26.51loop/s]
stage2: 503loop [00:15, 24.97loop/s]
stage2: 536loop [00:15, 94.80loop/s]
stage2: 592loop [00:15, 208.79loop/s]
stage2: 617loop [00:16, 101.55loop/s]
stage2: 636loop [00:16, 73.69loop/s] 
stage2: 671loop [00:16, 106.27loop/s]
stage2: 718loop [00:16, 158.63loop/s]
stage2: 764loop [00:17, 210.10loop/s]
stage2: 798loop [00:18, 57.71loop/s] 
stage2: 823loop [00:19, 52.48loop/s]
stage2: 864loop [00:19, 75.15loop/s]
stage2: 889loop [00:19, 76.52loop/s]
stage2: 909loop [00:19, 78.51loop/s]
stage2: 926loop [00:20, 71.27loop/s]
stage2: 939loop [00:20, 66.61loop/s]
stage2: 950loop [00:20, 57.95loop/s]
stage2: 959loop [00:21, 46.19loop/s]
