i,src,raw_time,map_bar,map_beat
0,time,0.0,0,1.0
1,time,4.0,1,1.0000000000000004
2,time,8.0,2,1.000000000000001
3,time,12.0,3,1.0000000000000022
4,time,16.0,4,1.0000000000000022
5,time,20.0,5,1.0
6,time,24.0,6,1.0000000000000044
7,time,28.0,7,1.0000000000000044
8,time,32.0,8,1.0000000000000044
9,time,36.0,9,1.0000000000000044
10,time,40.0,10,1.0
11,time,44.0,11,1.0000000000000089
12,time,48.0,12,1.0000000000000089
13,time,52.0,13,1.0000000000000089
14,time,56.0,14,1.0000000000000089
15,time,60.0,15,1.0
16,time,64.0,16,1.0000000000000089
17,time,68.0,17,1.0000000000000089
18,time,72.0,18,1.0000000000000089
19,time,76.0,19,1.0000000000000089
20,time,80.0,20,1.0
21,time,84.0,21,1.0
22,time,88.0,22,1.0000000000000178
23,time,92.0,23,1.0000000000000178
24,time,96.0,24,1.0000000000000178
25,time,100.0,25,1.0
26,time,104.0,26,1.0000000000000178
27,time,108.0,27,1.0000000000000178
28,time,112.0,28,1.0000000000000178
29,time,116.0,29,1.0000000000000178
30,time,120.0,30,1.0
31,time,124.0,31,1.0000000000000178
32,time,128.0,32,1.0000000000000178
33,time,132.0,33,1.0000000000000178
34,time,136.0,34,1.0000000000000178
35,time,140.0,35,1.0
36,time,144.0,36,1.0000000000000178
37,time,148.0,37,1.0000000000000178
38,time,152.0,38,1.0000000000000178
39,time,156.0,39,1.0000000000000178
40,time,160.0,40,1.0
41,time,164.0,41,1.0000000000000353
42,time,168.0,42,1.0
43,time,172.0,43,1.0
44,time,176.0,44,1.0000000000000353
45,time,180.0,45,1.0
46,time,184.0,46,1.0000000000000353
47,time,188.0,47,1.0000000000000353
48,time,192.0,48,1.0000000000000353
49,time,196.0,49,1.0000000000000353
50,time,200.0,50,1.0
51,time,204.0,51,1.0000000000000353
52,time,208.0,52,1.0000000000000353
53,time,212.0,53,1.0000000000000353
54,time,216.0,54,1.0000000000000353
55,time,220.0,55,1.0
56,time,224.0,56,1.0000000000000353
57,time,228.0,57,1.0000000000000353
58,time,232.0,58,1.0000000000000353
59,time,236.0,59,1.0000000000000353
60,time,240.0,60,1.0
61,time,244.0,61,1.0000000000000353
62,time,248.0,62,1.0000000000000353
63,time,252.0,63,1.0000000000000353
64,time,256.0,64,1.0000000000000353
65,time,260.0,65,1.0
66,time,264.0,66,1.0000000000000353
67,time,268.0,67,1.0000000000000353
68,time,272.0,68,1.0000000000000353
69,time,276.0,69,1.0000000000000353
70,time,280.0,70,1.0
71,time,284.0,71,1.0000000000000353
72,time,288.0,72,1.0000000000000353
73,time,292.0,73,1.0000000000000353
74,time,296.0,74,1.0000000000000353
75,time,300.0,75,1.0
76,time,304.0,76,1.0000000000000353
77,time,308.0,77,1.0000000000000353
78,time,312.0,78,1.0000000000000353
79,time,316.0,79,1.0000000000000353
80,time,320.0,80,1.0
81,time,324.0,81,1.0
82,time,328.0,82,1.0000000000000708
83,time,332.0,83,1.0000000000000708
84,time,336.0,84,1.0
85,time,340.0,85,1.0
86,time,344.0,86,1.0
87,time,348.0,87,1.0000000000000708
88,time,352.0,88,1.0000000000000708
89,time,356.0,89,1.0
90,time,360.0,90,1.0
91,time,364.0,91,1.0
92,time,368.0,92,1.0000000000000708
93,time,372.0,93,1.0000000000000708
94,time,376.0,94,1.0000000000000708
95,time,380.0,95,1.0
96,time,384.0,96,1.0000000000000708
97,time,388.0,97,1.0000000000000708
98,time,392.0,98,1.0000000000000708
99,time,396.0,99,1.0000000000000708
100,time,400.0,100,1.0
101,time,404.0,101,1.0000000000000708
102,time,408.0,102,1.0000000000000708
103,time,412.0,103,1.0000000000000708
104,time,416.0,104,1.0000000000000708
105,time,420.0,105,1.0
106,time,424.0,106,1.0000000000000708
107,time,428.0,107,1.0000000000000708
108,time,432.0,108,1.0000000000000708
109,time,436.0,109,1.0000000000000708
110,time,440.0,110,1.0
111,time,444.0,111,1.0000000000000708
112,time,448.0,112,1.0000000000000708
113,time,452.0,113,1.0000000000000708
114,time,456.0,114,1.0000000000000708
115,time,460.0,115,1.0
116,time,464.0,116,1.0000000000000708
117,time,468.0,117,1.0000000000000708
118,time,472.0,118,1.0000000000000708
119,time,476.0,119,1.0000000000000708
120,time,480.0,120,1.0
121,time,484.0,121,1.0000000000000708
122,time,488.0,122,1.0000000000000708
123,time,492.0,123,1.0000000000000708
124,time,496.0,124,1.0000000000000708
125,time,500.0,125,1.0
126,time,504.0,126,1.0000000000000708
127,time,508.0,127,1.0000000000000708
128,time,512.0,128,1.0000000000000708
129,time,516.0,129,1.0000000000000708
130,time,520.0,130,1.0
131,time,524.0,131,1.0000000000000708
132,time,528.0,132,1.0000000000000708
133,time,532.0,133,1.0000000000000708
134,time,536.0,134,1.0000000000000708
135,time,540.0,135,1.0
136,time,544.0,136,1.0000000000000708
137,time,548.0,137,1.0000000000000708
138,time,552.0,138,1.0000000000000708
139,time,556.0,139,1.0000000000000708
140,time,560.0,140,1.0
141,time,564.0,141,1.0000000000000708
142,time,568.0,142,1.0000000000000708
143,time,572.0,143,1.0000000000000708
144,time,576.0,144,1.0000000000000708
145,time,580.0,145,1.0
146,time,584.0,146,1.0000000000000708
147,time,588.0,147,1.0000000000000708
148,time,592.0,148,1.0000000000000708
