bar,guitar_activity,n,vel,corr_residual
66,0.4029644727706909,4,59.25,0.0029644727706908958
95,0.4232696294784546,4,75.75,0.023269629478454568
67,0.2759251296520233,3,62.0,0.024074870347976673
146,0.8242547313372294,8,86.875,0.02425473133722933
65,0.2647191782792409,3,84.0,0.03528082172075908
73,0.33670486013094586,3,77.0,0.03670486013094587
144,0.8437083959579468,8,88.0,0.04370839595794673
36,0.15723567207654318,1,91.0,0.057235672076543176
68,0.276432732741038,2,89.5,0.07643273274103801
141,0.7161070903142294,8,85.25,0.08389290968577068
145,0.8935593962669373,8,89.5,0.09355939626693721
0,0.0,1,71.0,0.1
2,0.0,1,43.0,0.1
14,0.0,1,63.0,0.1
28,0.0,1,70.0,0.1
30,0.0,1,69.0,0.1
35,0.0,1,69.0,0.1
49,0.0,1,80.0,0.1
50,0.0,1,81.0,0.1
99,0.0,1,69.0,0.1
