bar,piano_activity,n,vel,corr_residual
2,0.1952091654141744,2,58.0,0.027013056808047803
67,0.13814555605252585,1,71.0,0.027034444941414743
92,0.1418553094069163,1,77.0,0.030744198295805186
68,0.2723051408926646,2,92.0,0.0500829186704424
60,0.1676718791325887,2,84.5,0.054550343089633496
141,0.6216647624969482,5,92.6,0.06610920694139266
95,0.2936306099096934,2,83.0,0.07140838768747121
140,0.3625375032424927,4,85.0,0.08190694120195174
1,0.1952091654141744,1,75.0,0.0840980543030633
3,0.1952091654141744,1,40.0,0.0840980543030633
10,0.0,1,57.0,0.1111111111111111
32,0.0,1,72.0,0.1111111111111111
33,0.0,1,83.0,0.1111111111111111
36,0.0,1,99.0,0.1111111111111111
58,0.0,1,92.0,0.1111111111111111
59,0.0,1,94.0,0.1111111111111111
85,0.0,1,71.0,0.1111111111111111
88,0.0,1,73.0,0.1111111111111111
97,0.0,1,71.0,0.1111111111111111
111,0.0,1,70.0,0.1111111111111111
