bar,strings_activity,n,vel,corr_residual
1,0.19820505380630493,1,58.0,0.0017949461936950795
144,0.7980335752169291,4,83.0,0.0019664247830709636
41,0.17002606391906738,1,60.0,0.02997393608093263
145,0.8345595200856527,4,85.5,0.03455952008565266
60,0.15651914477348328,1,81.0,0.043480855226516735
146,0.755077064037323,3,80.33333333333333,0.15507706403732302
141,0.6421064535776774,4,78.0,0.15789354642232267
143,0.7904293735822042,3,74.66666666666667,0.19042937358220424
0,0.0,1,55.0,0.2
19,0.0,1,57.0,0.2
30,0.0,1,69.0,0.2
31,0.0,1,61.0,0.2
33,0.0,1,56.0,0.2
36,0.0,1,77.0,0.2
49,0.0,1,80.0,0.2
58,0.0,1,77.0,0.2
59,0.0,1,77.0,0.2
67,0.0,1,56.0,0.2
98,0.0,1,60.0,0.2
118,0.0,1,53.0,0.2
